County Name,Number of Deaths,Type of Death1,Year (copy),Latitude (generated),Longitude (generated)
Zavala,0,All Deaths (Natural and Injury) where Opioids Were Involved,2002,28.866,-99.761
Zapata,0,All Deaths (Natural and Injury) where Opioids Were Involved,2002,26.971,-99.203
Young,---,All Deaths (Natural and Injury) where Opioids Were Involved,2002,33.175,-98.687
Yoakum,0,All Deaths (Natural and Injury) where Opioids Were Involved,2002,33.173,-102.829
Wood,---,All Deaths (Natural and Injury) where Opioids Were Involved,2002,32.783,-95.407
Wise,---,All Deaths (Natural and Injury) where Opioids Were Involved,2002,33.214,-97.652
Winkler,0,All Deaths (Natural and Injury) where Opioids Were Involved,2002,31.869,-103.062
Wilson,---,All Deaths (Natural and Injury) where Opioids Were Involved,2002,29.176,-98.067
Williamson,---,All Deaths (Natural and Injury) where Opioids Were Involved,2002,30.68,-97.602
Willacy,0,All Deaths (Natural and Injury) where Opioids Were Involved,2002,26.453,-97.585
Wilbarger,0,All Deaths (Natural and Injury) where Opioids Were Involved,2002,34.087,-99.213
Wichita,---,All Deaths (Natural and Injury) where Opioids Were Involved,2002,33.984,-98.688
Wheeler,0,All Deaths (Natural and Injury) where Opioids Were Involved,2002,35.401,-100.269
Wharton,---,All Deaths (Natural and Injury) where Opioids Were Involved,2002,29.286,-96.241
Webb,---,All Deaths (Natural and Injury) where Opioids Were Involved,2002,27.851,-99.505
Washington,0,All Deaths (Natural and Injury) where Opioids Were Involved,2002,30.209,-96.437
Ward,0,All Deaths (Natural and Injury) where Opioids Were Involved,2002,31.511,-103.189
Waller,0,All Deaths (Natural and Injury) where Opioids Were Involved,2002,29.981,-95.997
Walker,---,All Deaths (Natural and Injury) where Opioids Were Involved,2002,30.727,-95.595
Victoria,---,All Deaths (Natural and Injury) where Opioids Were Involved,2002,28.802,-96.974
Van Zandt,---,All Deaths (Natural and Injury) where Opioids Were Involved,2002,32.556,-95.762
Val Verde,0,All Deaths (Natural and Injury) where Opioids Were Involved,2002,29.905,-101.23
Uvalde,---,All Deaths (Natural and Injury) where Opioids Were Involved,2002,29.357,-99.762
Upton,0,All Deaths (Natural and Injury) where Opioids Were Involved,2002,31.367,-102.046
Upshur,0,All Deaths (Natural and Injury) where Opioids Were Involved,2002,32.73,-94.912
Tyler,0,All Deaths (Natural and Injury) where Opioids Were Involved,2002,30.779,-94.354
Trinity,0,All Deaths (Natural and Injury) where Opioids Were Involved,2002,31.068,-95.138
Travis,---,All Deaths (Natural and Injury) where Opioids Were Involved,2002,30.249,-97.771
Tom Green,---,All Deaths (Natural and Injury) where Opioids Were Involved,2002,31.447,-100.689
Titus,0,All Deaths (Natural and Injury) where Opioids Were Involved,2002,33.23,-94.967
Throckmorton,0,All Deaths (Natural and Injury) where Opioids Were Involved,2002,33.177,-99.211
Terry,0,All Deaths (Natural and Injury) where Opioids Were Involved,2002,33.173,-102.335
Terrell,0,All Deaths (Natural and Injury) where Opioids Were Involved,2002,30.224,-102.106
Taylor,---,All Deaths (Natural and Injury) where Opioids Were Involved,2002,32.301,-99.89
Tarrant,53,All Deaths (Natural and Injury) where Opioids Were Involved,2002,32.77,-97.291
Swisher,0,All Deaths (Natural and Injury) where Opioids Were Involved,2002,34.53,-101.734
Sutton,0,All Deaths (Natural and Injury) where Opioids Were Involved,2002,30.497,-100.538
Stonewall,0,All Deaths (Natural and Injury) where Opioids Were Involved,2002,33.179,-100.254
Sterling,0,All Deaths (Natural and Injury) where Opioids Were Involved,2002,31.823,-101.044
Stephens,0,All Deaths (Natural and Injury) where Opioids Were Involved,2002,32.736,-98.835
